Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2010-11,20104 (Autumn 2010),A A 198 A,SPECIAL TOPICS,"KNOWLEN, CARL",25,22,3,,,,,,,,,,,,3.9
2010-11,20104 (Autumn 2010),A A 210 A,ENGR STATICS,"KNOWLEN, CARL",186,21,30,40,30,31,14,9,4,1,1,,,5,3.0
2010-11,20104 (Autumn 2010),A A 310 A,ORB SPACE FLIGHT,"HERMANSON, JAMES C.",57,7,13,15,10,8,2,2,,,,,,,3.2
2010-11,20104 (Autumn 2010),A A 311 A,ATM FLIGHT MECH,"LUM, CHRISTOPHER, W",57,8,15,11,14,6,2,,1,,,,,,3.2
2010-11,20104 (Autumn 2010),A A 320 A,AEROSPACE INSTR,"MATTICK, ARTHUR THOMAS",57,3,19,19,13,3,,,,,,,,,3.3
2010-11,20104 (Autumn 2010),A A 402 A,FLUID MECHANICS,"FERRANTE, ANTONINO",19,1,7,6,3,1,1,,,,,,,,3.3
2010-11,20104 (Autumn 2010),A A 405 A,AEROSPACE PLASMAS,"SHUMLAK, URI",28,4,4,5,8,1,3,,2,,,,,1,3.1
2010-11,20104 (Autumn 2010),A A 430 A,FINTE ELEMENT ANALYS,"HOLSAPPLE, KEITH A",24,3,8,7,4,2,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),A A 447 A,CONT IN AEROSP,"MESBAHI, MEHRAN",47,10,14,11,6,4,1,1,,,,,,,3.4
2010-11,20104 (Autumn 2010),A A 461 A,ADVANCED PROPULSION,"KUROSAKA, MITSURU",29,2,10,8,5,2,2,,,,,,,,3.3
2010-11,20104 (Autumn 2010),A A 501 A,PHYS GASDYNMCS I,"BREIDENTHAL, ROBERT E",24,10,12,1,,,,,,,,,,1,3.7
2010-11,20104 (Autumn 2010),A A 503 A,CONTINUUM MECH,"DABIRI, DANA",17,1,4,7,4,1,,,,,,,,,3.3
2010-11,20104 (Autumn 2010),A A 516 A,STAB & CON FLT VEH,"LIVNE, ELI",15,6,3,2,4,,,,,,,,,,3.5
2010-11,20104 (Autumn 2010),A A 527 A,SPACE POWER SYSTEM,"MATTICK, ARTHUR THOMAS",14,4,7,3,,,,,,,,,,,3.6
2010-11,20104 (Autumn 2010),A A 530 A,MECHANICS OF SOLIDS,"LIN, KUEN Y",14,2,4,5,1,1,,,,,,,,1,3.4
2010-11,20104 (Autumn 2010),A A 530 B,MECHANICS OF SOLIDS,"LIN, KUEN Y",21,,5,4,2,7,1,1,,,,,,1,3.0
2010-11,20104 (Autumn 2010),A A 547 A,LINEAR SYSTEMS,"CHIZECK, HOWARD JAY",13,3,10,,,,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),A S 101 A,FOUNDATION USAF I,"SANDGREN, RENA MICHELLE",21,6,6,2,3,1,,,,,,1,2,,3.1
2010-11,20104 (Autumn 2010),A S 101 B,FOUNDATION USAF I,"SANDGREN, RENA MICHELLE",15,7,3,,1,,1,1,,1,,,1,,3.1
2010-11,20104 (Autumn 2010),A S 101 C,FOUNDATION USAF I,"SANDGREN, RENA MICHELLE",20,15,2,,2,,,,,,,,,1,3.8
2010-11,20104 (Autumn 2010),A S 211 A,AIR & SPACE PWR I,"CUNNINGHAM, JAMES A.",18,13,1,2,,,,,,,,,1,1,3.6
2010-11,20104 (Autumn 2010),A S 211 C,AIR & SPACE PWR I,"CUNNINGHAM, JAMES A.",13,11,2,,,,,,,,,,,,3.9
2010-11,20104 (Autumn 2010),A S 331 A,AEROSPACE STDYS 300,"BASS, ZACHARY P",22,11,6,4,,1,,,,,,,,,3.7
2010-11,20104 (Autumn 2010),A S 331 B,AEROSPACE STDYS 300,"BASS, ZACHARY P",18,12,4,1,,,,1,,,,,,,3.7
2010-11,20104 (Autumn 2010),A S 431 A,AEROSPACE STDYS 400,"GUSTAFSON, JEFFREY H.",25,4,5,7,3,4,1,,,,,,,1,3.2
2010-11,20104 (Autumn 2010),A S 431 B,AEROSPACE STDYS 400,"GUSTAFSON, JEFFREY H.",14,2,6,1,2,2,,,1,,,,,,3.2
2010-11,20104 (Autumn 2010),AAS 101 A,ASIAN-AM CULTURE,"JUNG, MOON-HO",97,,14,30,28,16,4,1,,,,,2,2,3.0
2010-11,20104 (Autumn 2010),AAS 330 A,ASIAN AMER THEATER,"SUMIDA, STEPHEN H.",40,6,23,7,2,1,,,,,,,1,,3.4
2010-11,20104 (Autumn 2010),AAS 360 A,FIL-AM HIST & CLTR,"BONUS, ENRIQUE C.",44,10,13,6,4,5,1,1,2,,,,,2,3.3
2010-11,20104 (Autumn 2010),AAS 370 A,JPN-AM HIST CLTR,"KASHIMA, TETSUDEN",35,4,9,3,6,7,4,2,,,,,,,3.0
2010-11,20104 (Autumn 2010),AAS 385 A,AAS LAW AND IMMIGRA,"NOMURA, GAIL M.",40,3,19,12,6,,,,,,,,,,3.4
2010-11,20104 (Autumn 2010),AAS 395 A,SE-ASIAN AM HST/CLT,"SO, CONNIE C.",27,4,9,3,5,2,,2,,,,,,2,3.3
2010-11,20104 (Autumn 2010),ACADEM 197 A,RESEARCH SEMINARS,"MOODY, WILLIAM J",36,7,18,9,2,,,,,,,,,,3.6
